GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PRODUÇÃO DE BIODIESEL (B100);ANO
Região Norte ;Rondônia ;8406,16;2012
Região Norte ;Rondônia ;13552,771;2013
Região Norte ;Rondônia ;10977,016;2014
Região Norte ;Rondônia ;4139,994;2015
Região Norte ;Rondônia ;1034,537;2016
Região Norte ;Rondônia ;7260,148;2017
Região Norte ;Rondônia ;16231,507;2018
Região Norte ;Rondônia ;15861,523;2019
Região Norte ;Rondônia ;6854,161;2020
Região Norte ;Rondônia ;3724,066;2021
Região Norte ;Tocantins ;70247,47;2012
Região Norte ;Tocantins ;48686,613;2013
Região Norte ;Tocantins ;73604,049;2014
Região Norte ;Tocantins ;62084,757;2015
Região Norte ;Tocantins ;37923,252;2016
Região Norte ;Tocantins ;561,142;2017
Região Norte ;Tocantins ;85100,712;2018
Região Norte ;Tocantins ;92489,319;2019
Região Norte ;Tocantins ;141757,109;2020
Região Norte ;Tocantins ;140697,656;2021
Região Nordeste ;Piauí;0;2012
Região Nordeste ;Piauí;0;2013
Região Nordeste ;Piauí;0;2014
Região Nordeste ;Piauí;0;2015
Região Nordeste ;Piauí;0;2016
Região Nordeste ;Piauí;0;2017
Região Nordeste ;Piauí;0;2018
Região Nordeste ;Piauí;0;2019
Região Nordeste ;Piauí;39643,021;2020
Região Nordeste ;Piauí;42391,913;2021
Região Nordeste ;Ceará ;62368,86;2012
Região Nordeste ;Ceará ;84191,262;2013
Região Nordeste ;Ceará ;72983,6;2014
Região Nordeste ;Ceará ;87433,706;2015
Região Nordeste ;Ceará ;59389,645;2016
Região Nordeste ;Ceará ;0;2017
Região Nordeste ;Ceará ;0;2018
Região Nordeste ;Ceará ;0;2019
Região Nordeste ;Ceará ;0;2020
Região Nordeste ;Ceará ;0;2021
Região Nordeste ;Rio Grande do Norte;0;2012
Região Nordeste ;Rio Grande do Norte;0;2013
Região Nordeste ;Rio Grande do Norte;0;2014
Região Nordeste ;Rio Grande do Norte;1798,786;2015
Região Nordeste ;Rio Grande do Norte;0;2016
Região Nordeste ;Rio Grande do Norte;0;2017
Região Nordeste ;Rio Grande do Norte;0;2018
Região Nordeste ;Rio Grande do Norte;0;2019
Região Nordeste ;Rio Grande do Norte;0;2020
Região Nordeste ;Rio Grande do Norte;0;2021
Região Nordeste ;Bahia ;231204,27;2012
Região Nordeste ;Bahia ;194187,867;2013
Região Nordeste ;Bahia ;160191,91;2014
Região Nordeste ;Bahia ;225484,045;2015
Região Nordeste ;Bahia ;245215,257;2016
Região Nordeste ;Bahia ;290944,786;2017
Região Nordeste ;Bahia ;376337,642;2018
Região Nordeste ;Bahia ;454325,593;2019
Região Nordeste ;Bahia ;438580,899;2020
Região Nordeste ;Bahia ;410429,542;2021
Região Sudeste ;Minas Gerais ;80100,09;2012
Região Sudeste ;Minas Gerais ;88019,751;2013
Região Sudeste ;Minas Gerais ;83283,421;2014
Região Sudeste ;Minas Gerais ;92258,387;2015
Região Sudeste ;Minas Gerais ;94798,232;2016
Região Sudeste ;Minas Gerais ;118136,424;2017
Região Sudeste ;Minas Gerais ;127945,648;2018
Região Sudeste ;Minas Gerais ;131111,981;2019
Região Sudeste ;Minas Gerais ;131888,195;2020
Região Sudeste ;Minas Gerais ;112201,047;2021
Região Sudeste ;Rio de Janeiro ;17045,89;2012
Região Sudeste ;Rio de Janeiro ;8891,265;2013
Região Sudeste ;Rio de Janeiro ;17262,437;2014
Região Sudeste ;Rio de Janeiro ;18704,252;2015
Região Sudeste ;Rio de Janeiro ;21669,101;2016
Região Sudeste ;Rio de Janeiro ;58237,081;2017
Região Sudeste ;Rio de Janeiro ;96103,068;2018
Região Sudeste ;Rio de Janeiro ;137673,223;2019
Região Sudeste ;Rio de Janeiro ;141299,373;2020
Região Sudeste ;Rio de Janeiro ;137877,831;2021
Região Sudeste ;São Paulo ;158586,64;2012
Região Sudeste ;São Paulo ;164461,715;2013
Região Sudeste ;São Paulo ;170345,35;2014
Região Sudeste ;São Paulo ;184473,055;2015
Região Sudeste ;São Paulo ;137791,333;2016
Região Sudeste ;São Paulo ;156246,168;2017
Região Sudeste ;São Paulo ;233652,926;2018
Região Sudeste ;São Paulo ;231089,628;2019
Região Sudeste ;São Paulo ;232933,004;2020
Região Sudeste ;São Paulo ;175198,083;2021
Região Sul ;Paraná ;120110,85;2012
Região Sul ;Paraná ;210716,216;2013
Região Sul ;Paraná ;319221,892;2014
Região Sul ;Paraná ;363688,712;2015
Região Sul ;Paraná ;392679,001;2016
Região Sul ;Paraná ;504233,411;2017
Região Sul ;Paraná ;597347,661;2018
Região Sul ;Paraná ;659340,103;2019
Região Sul ;Paraná ;809335,783;2020
Região Sul ;Paraná ;1224612,511;2021
Região Sul ;Santa Catarina;0;2012
Região Sul ;Santa Catarina;38357,708;2013
Região Sul ;Santa Catarina;68451,577;2014
Região Sul ;Santa Catarina;34488,519;2015
Região Sul ;Santa Catarina;89252,128;2016
Região Sul ;Santa Catarina;121964,95;2017
Região Sul ;Santa Catarina;122131,447;2018
Região Sul ;Santa Catarina;130473,402;2019
Região Sul ;Santa Catarina;139944,624;2020
Região Sul ;Santa Catarina;101798,337;2021
Região Sul ;Rio Grande do Sul ;806500,01;2012
Região Sul ;Rio Grande do Sul ;883331,437;2013
Região Sul ;Rio Grande do Sul ;973646,943;2014
Região Sul ;Rio Grande do Sul ;1114307,261;2015
Região Sul ;Rio Grande do Sul ;1074758,962;2016
Região Sul ;Rio Grande do Sul ;1135975,802;2017
Região Sul ;Rio Grande do Sul ;1479447,69;2018
Região Sul ;Rio Grande do Sul ;1606884,619;2019
Região Sul ;Rio Grande do Sul ;1791980,776;2020
Região Sul ;Rio Grande do Sul ;1855787,223;2021
Região Centro-Oeste ;Mato Grosso do Sul ;84053,96;2012
Região Centro-Oeste ;Mato Grosso do Sul ;188896,907;2013
Região Centro-Oeste ;Mato Grosso do Sul ;217296,711;2014
Região Centro-Oeste ;Mato Grosso do Sul ;207483,634;2015
Região Centro-Oeste ;Mato Grosso do Sul ;178236,887;2016
Região Centro-Oeste ;Mato Grosso do Sul ;265707,076;2017
Região Centro-Oeste ;Mato Grosso do Sul ;324483,044;2018
Região Centro-Oeste ;Mato Grosso do Sul ;343493,385;2019
Região Centro-Oeste ;Mato Grosso do Sul ;308890,054;2020
Região Centro-Oeste ;Mato Grosso do Sul ;274897,338;2021
Região Centro-Oeste ;Mato Grosso ;477713,15;2012
Região Centro-Oeste ;Mato Grosso ;418480,113;2013
Região Centro-Oeste ;Mato Grosso ;611107,704;2014
Região Centro-Oeste ;Mato Grosso ;845671,434;2015
Região Centro-Oeste ;Mato Grosso ;818669,131;2016
Região Centro-Oeste ;Mato Grosso ;914002,411;2017
Região Centro-Oeste ;Mato Grosso ;1119551,747;2018
Região Centro-Oeste ;Mato Grosso ;1234971,905;2019
Região Centro-Oeste ;Mato Grosso ;1383384,416;2020
Região Centro-Oeste ;Mato Grosso ;1321594,144;2021
Região Centro-Oeste ;Goiás ;601146,14;2012
Região Centro-Oeste ;Goiás ;575714,644;2013
Região Centro-Oeste ;Goiás ;643837,287;2014
Região Centro-Oeste ;Goiás ;695251,992;2015
Região Centro-Oeste ;Goiás ;649921,532;2016
Região Centro-Oeste ;Goiás ;716570,289;2017
Região Centro-Oeste ;Goiás ;758195,585;2018
Região Centro-Oeste ;Goiás ;865051,084;2019
Região Centro-Oeste ;Goiás ;878498,156;2020
Região Centro-Oeste ;Goiás ;964640,535;2021
