GRANDES REGIÕES;UNIDADES DA FEDERAÇÃO;PRODUÇÃO DE ETANOL HIDRATADO;ANO
Região Norte;Rondônia;8,65;2012
Região Norte;Rondônia;7,460333;2013
Região Norte;Rondônia;12,769985;2014
Região Norte;Rondônia;12,988815;2015
Região Norte;Rondônia;9,058;2016
Região Norte;Rondônia;4,901497;2017
Região Norte;Rondônia;1,389635;2018
Região Norte;Rondônia;4,848;2019
Região Norte;Rondônia;0,0663;2020
Região Norte;Rondônia;0;2021
Região Norte;Acre;4,1;2012
Região Norte;Acre;5,008348;2013
Região Norte;Acre;0;2014
Região Norte;Acre;4,508889;2015
Região Norte;Acre;3,673;2016
Região Norte;Acre;0;2017
Região Norte;Acre;0;2018
Região Norte;Acre;0;2019
Região Norte;Acre;0;2020
Região Norte;Acre;0;2021
Região Norte;Amazonas;4,05;2012
Região Norte;Amazonas;4,874878;2013
Região Norte;Amazonas;2,918;2014
Região Norte;Amazonas;5,804;2015
Região Norte;Amazonas;5,497;2016
Região Norte;Amazonas;4,845;2017
Região Norte;Amazonas;5,468;2018
Região Norte;Amazonas;8,816;2019
Região Norte;Amazonas;9,009;2020
Região Norte;Amazonas;6,387398;2021
Região Norte;Pará;10,86;2012
Região Norte;Pará;8,970875;2013
Região Norte;Pará;8,34413;2014
Região Norte;Pará;11,135998;2015
Região Norte;Pará;4,456;2016
Região Norte;Pará;8,086779;2017
Região Norte;Pará;8,6317;2018
Região Norte;Pará;17,105;2019
Região Norte;Pará;11,72491;2020
Região Norte;Pará;13,368035;2021
Região Norte;Tocantins;38,42;2012
Região Norte;Tocantins;70,089056;2013
Região Norte;Tocantins;62,27534;2014
Região Norte;Tocantins;61,863077;2015
Região Norte;Tocantins;45,447;2016
Região Norte;Tocantins;60,506537;2017
Região Norte;Tocantins;85,523594;2018
Região Norte;Tocantins;84,834;2019
Região Norte;Tocantins;88,318326;2020
Região Norte;Tocantins;104,216591;2021
Região Nordeste;Maranhão;23,5;2012
Região Nordeste;Maranhão;13,420685;2013
Região Nordeste;Maranhão;13,576687;2014
Região Nordeste;Maranhão;42,276658;2015
Região Nordeste;Maranhão;16,950289;2016
Região Nordeste;Maranhão;19,620612;2017
Região Nordeste;Maranhão;24,8653;2018
Região Nordeste;Maranhão;25,7055;2019
Região Nordeste;Maranhão;15,135041;2020
Região Nordeste;Maranhão;9,821679;2021
Região Nordeste;Piauí;0,08;2012
Região Nordeste;Piauí;1,086158;2013
Região Nordeste;Piauí;0,530337;2014
Região Nordeste;Piauí;3,34053;2015
Região Nordeste;Piauí;0,215135;2016
Região Nordeste;Piauí;0,823357;2017
Região Nordeste;Piauí;19,461271;2018
Região Nordeste;Piauí;29,654773;2019
Região Nordeste;Piauí;10,475773;2020
Região Nordeste;Piauí;17,488773;2021
Região Nordeste;Ceará;3,98;2012
