DERIVADOS DE PETRÓLEO;ANO;VENDAS NACIONAIS PELAS DISTRIBUIDORAS
 Gasolina C ;2012;39698
 Gasolina C ;2013;41426,237
 Gasolina C ;2014;44364,247
 Gasolina C ;2015;41137,402
 Gasolina C ;2016;43019,082
 Gasolina C ;2017;44149,532
 Gasolina C ;2018;38351,779
 Gasolina C ;2019;38165,037
 Gasolina C ;2020;35823,614
 Gasolina C ;2021;39317,347
Gasolina de aviação;2012;76
Gasolina de aviação;2013;76,934353
Gasolina de aviação;2014;76,244
Gasolina de aviação;2015;63,728
Gasolina de aviação;2016;57,246
Gasolina de aviação;2017;51,361
Gasolina de aviação;2018;48,461
Gasolina de aviação;2019;43,146
Gasolina de aviação;2020;38,998
Gasolina de aviação;2021;47,789
GLP ;2012;12926
GLP ;2013;13276,48406
GLP ;2014;13443,962
GLP ;2015;13249,127
GLP ;2016;13397,605
GLP ;2017;13388,746
GLP ;2018;13256,886
GLP ;2019;13208,918
GLP ;2020;13606,798
GLP ;2021;13458,737
Óleo combustível ;2012;3934
Óleo combustível ;2013;4990,546356
Óleo combustível ;2014;6195,079
Óleo combustível ;2015;4931,764
Óleo combustível ;2016;3332,562
Óleo combustível ;2017;3384,547
Óleo combustível ;2018;2315,574
Óleo combustível ;2019;1890,611
Óleo combustível ;2020;2019,188
Óleo combustível ;2021;3389,724
Óleo diesel ;2012;55900
Óleo diesel ;2013;58572,495
Óleo diesel ;2014;60031,618
Óleo diesel ;2015;57210,87
Óleo diesel ;2016;54278,57
Óleo diesel ;2017;54772,292
Óleo diesel ;2018;55629,467
Óleo diesel ;2019;57298,448
Óleo diesel ;2020;57472,056
Óleo diesel ;2021;62111,566
QAV;2012;7292
QAV;2013;7224,825503
QAV;2014;7470,225
QAV;2015;7355,076
QAV;2016;6764,746
QAV;2017;6694,18
QAV;2018;7164,207
QAV;2019;6980,446
QAV;2020;3546,072
QAV;2021;4385,078
Querosene Iluminante;2012;12
Querosene Iluminante;2013;9,422518
Querosene Iluminante;2014;7,284
Querosene Iluminante;2015;5,774
Querosene Iluminante;2016;5,999
Querosene Iluminante;2017;5,387
Querosene Iluminante;2018;5,307
Querosene Iluminante;2019;4,44
Querosene Iluminante;2020;4,331
Querosene Iluminante;2021;4,337
