UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;REINJEÇÃO DE GÁS NATURAL
Amazonas;Terra;2012;2235,5
Amazonas;Terra;2013;1985,865599
Amazonas;Terra;2014;2353,961132
Amazonas;Terra;2015;2723,802983
Amazonas;Terra;2016;3078,455899
Amazonas;Terra;2017;2745,00105
Amazonas;Terra;2018;2847,732742
Amazonas;Terra;2019;2887,574
Amazonas;Terra;2020;2186,412677
Amazonas;Terra;2021;2098,459846
Rio Grande do Norte;Mar;2012;17,5
Rio Grande do Norte;Mar;2013;11,7103267
Rio Grande do Norte;Mar;2014;11,4042382
Rio Grande do Norte;Mar;2015;11,3071925
Rio Grande do Norte;Mar;2016;0,1288545
Rio Grande do Norte;Mar;2017;0
Rio Grande do Norte;Mar;2018;0
Rio Grande do Norte;Mar;2019;0
Rio Grande do Norte;Mar;2020;0
Rio Grande do Norte;Mar;2021;0
Alagoas;Terra;2012;39
Alagoas;Terra;2013;7,3931313
Alagoas;Terra;2014;0,310508
Alagoas;Terra;2015;0,570477
Alagoas;Terra;2016;0,0489629
Alagoas;Terra;2017;0,122953
Alagoas;Terra;2018;0,001001
Alagoas;Terra;2019;0,01
Alagoas;Terra;2020;0
Alagoas;Terra;2021;0,001473
Sergipe;Terra;2012;9,7
Sergipe;Terra;2013;6,67553
Sergipe;Terra;2014;9,450498
Sergipe;Terra;2015;8,340251
Sergipe;Terra;2016;2,313288
Sergipe;Terra;2017;0
Sergipe;Terra;2018;0
Sergipe;Terra;2019;5,952
Sergipe;Terra;2020;1,604072
Sergipe;Terra;2021;0,075993
Sergipe;Mar;2012;627,9
Sergipe;Mar;2013;641,6730728
Sergipe;Mar;2014;603,0026578
Sergipe;Mar;2015;474,4871977
Sergipe;Mar;2016;595,9952818
Sergipe;Mar;2017;519,1029825
Sergipe;Mar;2018;519,3277206
Sergipe;Mar;2019;408,67
Sergipe;Mar;2020;76,55724286
Sergipe;Mar;2021;0
Bahia;Terra;2012;204,9
Bahia;Terra;2013;212,6580181
Bahia;Terra;2014;300,5628918
Bahia;Terra;2015;348,8991706
Bahia;Terra;2016;247,8785211
Bahia;Terra;2017;235,3078476
Bahia;Terra;2018;221,349168
Bahia;Terra;2019;208,674
Bahia;Terra;2020;167,9465572
Bahia;Terra;2021;173,923471
Espírito Santo;Mar;2012;120,9
Espírito Santo;Mar;2013;64,580098
Espírito Santo;Mar;2014;111,423841
Espírito Santo;Mar;2015;0,262613
Espírito Santo;Mar;2016;0
Espírito Santo;Mar;2017;0
Espírito Santo;Mar;2018;0
Espírito Santo;Mar;2019;0
Espírito Santo;Mar;2020;0
Espírito Santo;Mar;2021;0
Rio de Janeiro;Mar;2012;287,4
Rio de Janeiro;Mar;2013;702,230397
Rio de Janeiro;Mar;2014;1682,680487
Rio de Janeiro;Mar;2015;3575,804242
Rio de Janeiro;Mar;2016;5301,690922
Rio de Janeiro;Mar;2017;4752,208837
Rio de Janeiro;Mar;2018;6784,698424
Rio de Janeiro;Mar;2019;10313,657
Rio de Janeiro;Mar;2020;15499,30778
Rio de Janeiro;Mar;2021;17637,9954
São Paulo;Mar;2012;0
São Paulo;Mar;2013;250,218144
São Paulo;Mar;2014;666,893715
São Paulo;Mar;2015;1723,239525
São Paulo;Mar;2016;1842,984331
São Paulo;Mar;2017;1825,098074
São Paulo;Mar;2018;2438,842006
São Paulo;Mar;2019;1952,134
São Paulo;Mar;2020;2081,911516
São Paulo;Mar;2021;2298,397362
