REGIÃO GEOGRÁFICA;PAÍS;IMPORTAÇÃO DE PETRÓLEO;ANO
América do Norte;Estados Unidos;553;2012
América do Norte;Estados Unidos;4,465324091;2013
América do Norte;Estados Unidos;60,59544756;2014
América do Norte;Estados Unidos;2963,856528;2015
América do Norte;Estados Unidos;1526,855536;2016
América do Norte;Estados Unidos;0;2017
América do Norte;Estados Unidos;9058,715822;2018
América do Norte;Estados Unidos;12825,65764;2019
América do Norte;Estados Unidos;15223,61516;2020
América do Norte;Estados Unidos;14353,33287;2021
Américas Central e do Sul;Argentina;1966;2012
Américas Central e do Sul;Argentina;1513,694;2013
Américas Central e do Sul;Argentina;1116,500337;2014
Américas Central e do Sul;Argentina;0;2015
Américas Central e do Sul;Argentina;529,5350514;2016
Américas Central e do Sul;Argentina;0;2017
Américas Central e do Sul;Argentina;0;2018
Américas Central e do Sul;Argentina;0;2019
Américas Central e do Sul;Argentina;451,5832728;2020
Américas Central e do Sul;Argentina;0;2021
Américas Central e do Sul;Colômbia;0;2012
Américas Central e do Sul;Colômbia;524,2302979;2013
Américas Central e do Sul;Colômbia;3118,244745;2014
Américas Central e do Sul;Colômbia;0;2015
Américas Central e do Sul;Colômbia;0;2016
Américas Central e do Sul;Colômbia;0;2017
Américas Central e do Sul;Colômbia;0;2018
Américas Central e do Sul;Colômbia;0;2019
Américas Central e do Sul;Colômbia;0;2020
Américas Central e do Sul;Colômbia;0;2021
Américas Central e do Sul;Peru;244;2012
Américas Central e do Sul;Peru;0;2013
Américas Central e do Sul;Peru;0;2014
Américas Central e do Sul;Peru;515,5646731;2015
Américas Central e do Sul;Peru;246,0972854;2016
Américas Central e do Sul;Peru;0;2017
Américas Central e do Sul;Peru;0;2018
Américas Central e do Sul;Peru;0;2019
Américas Central e do Sul;Peru;0;2020
Américas Central e do Sul;Peru;0;2021
Américas Central e do Sul;Trinidad e Tobago;0;2012
Américas Central e do Sul;Trinidad e Tobago;0;2013
Américas Central e do Sul;Trinidad e Tobago;379,2023634;2014
Américas Central e do Sul;Trinidad e Tobago;0;2015
Américas Central e do Sul;Trinidad e Tobago;0;2016
Américas Central e do Sul;Trinidad e Tobago;0;2017
Américas Central e do Sul;Trinidad e Tobago;0;2018
Américas Central e do Sul;Trinidad e Tobago;0;2019
Américas Central e do Sul;Trinidad e Tobago;0;2020
Américas Central e do Sul;Trinidad e Tobago;0;2021
Américas Central e do Sul;Venezuela;0;2012
Américas Central e do Sul;Venezuela;918,5916538;2013
Américas Central e do Sul;Venezuela;0;2014
Américas Central e do Sul;Venezuela;0;2015
Américas Central e do Sul;Venezuela;0;2016
Américas Central e do Sul;Venezuela;0;2017
Américas Central e do Sul;Venezuela;0;2018
Américas Central e do Sul;Venezuela;0;2019
Américas Central e do Sul;Venezuela;0;2020
Américas Central e do Sul;Venezuela;0;2021
Europa ;Malta;0;2012
Europa ;Malta;0;2013
Europa ;Malta;0;2014
Europa ;Malta;0;2015
Europa ;Malta;222,0924822;2016
Europa ;Malta;0;2017
Europa ;Malta;0;2018
Europa ;Malta;0;2019
Europa ;Malta;0;2020
Europa ;Malta;0;2021
Europa ;Noruega;0;2012
Europa ;Noruega;638,2822848;2019
Europa ;Noruega;907,8273169;2020
Europa ;Noruega;0;2021
Europa ;Reino Unido;0;2012
Europa ;Reino Unido;0;2013
Europa ;Reino Unido;0;2014
Europa ;Reino Unido;0;2015
Europa ;Reino Unido;0,008790992;2016
Europa ;Reino Unido;1895,602477;2017
Europa ;Reino Unido;0;2018
Europa ;Reino Unido;0;2019
Europa ;Reino Unido;0;2020
Europa ;Reino Unido;0,000147996;2021
Comunidade dos Estados Independentes;Rússia;884;2012
Comunidade dos Estados Independentes;Rússia;0;2013
Comunidade dos Estados Independentes;Rússia;0;2014
Comunidade dos Estados Independentes;Rússia;0;2015
Comunidade dos Estados Independentes;Rússia;0;2016
Comunidade dos Estados Independentes;Rússia;0;2017
Comunidade dos Estados Independentes;Rússia;0;2018
Comunidade dos Estados Independentes;Rússia;0;2019
Comunidade dos Estados Independentes;Rússia;0;2020
Comunidade dos Estados Independentes;Rússia;311,2099497;2021
Oriente Médio;Arábia Saudita;26047;2012
Oriente Médio;Arábia Saudita;27925,364;2013
Oriente Médio;Arábia Saudita;25438,99116;2014
Oriente Médio;Arábia Saudita;27030,46361;2015
Oriente Médio;Arábia Saudita;22982,51062;2016
Oriente Médio;Arábia Saudita;27571,12573;2017
Oriente Médio;Arábia Saudita;23563,71107;2018
Oriente Médio;Arábia Saudita;24497,79051;2019
Oriente Médio;Arábia Saudita;20265,60505;2020
Oriente Médio;Arábia Saudita;22135,85793;2021
Oriente Médio;Coveite;0;2012
Oriente Médio;Coveite;0;2013
Oriente Médio;Coveite;1068,274374;2014
Oriente Médio;Coveite;0;2015
Oriente Médio;Coveite;0;2016
Oriente Médio;Coveite;0;2017
Oriente Médio;Coveite;0;2018
Oriente Médio;Coveite;0;2019
Oriente Médio;Coveite;0;2020
Oriente Médio;Coveite;0;2021
Oriente Médio;Emirados Árabes Unidos;0;2012
Oriente Médio;Emirados Árabes Unidos;0;2013
Oriente Médio;Emirados Árabes Unidos;0;2014
Oriente Médio;Emirados Árabes Unidos;237,4810033;2015
Oriente Médio;Emirados Árabes Unidos;250,474626;2016
Oriente Médio;Emirados Árabes Unidos;0;2017
Oriente Médio;Emirados Árabes Unidos;0;2018
Oriente Médio;Emirados Árabes Unidos;0;2019
Oriente Médio;Emirados Árabes Unidos;0;2020
Oriente Médio;Emirados Árabes Unidos;0;2021
Oriente Médio;Iraque;9162;2012
Oriente Médio;Iraque;7379,105;2013
Oriente Médio;Iraque;11402,25797;2014
Oriente Médio;Iraque;8408,526421;2015
Oriente Médio;Iraque;3058,410144;2016
Oriente Médio;Iraque;2621,438253;2017
Oriente Médio;Iraque;5669,731743;2018
Oriente Médio;Iraque;4062,131097;2019
Oriente Médio;Iraque;2011,705414;2020
Oriente Médio;Iraque;5067,314618;2021
África;Angola;0;2012
África;Angola;5600,012;2013
África;Angola;9567,730759;2014
África;Angola;0;2015
África;Angola;0;2016
África;Angola;0;2017
África;Angola;0;2018
África;Angola;0;2019
África;Angola;253,9983707;2020
África;Angola;0;2021
África;Argélia;8045;2012
África;Argélia;11859,487;2013
África;Argélia;7466,852333;2014
África;Argélia;8077,069824;2015
África;Argélia;10796,45718;2016
África;Argélia;12532,95536;2017
África;Argélia;12206,29502;2018
África;Argélia;15840,57267;2019
África;Argélia;4702,625833;2020
